id,make,model,manufacture_year,status
168,Volkswagen,Phantom,1979-11-20,available
169,Suzuki,Impala,1985-12-22,available
170,Rolls-Royce,TL,1975-09-01,not available
171,Porsche,Tracker,1980-04-04,available
172,Chevrolet,Phantom,1985-11-02,available
173,Volkswagen,SX4,1998-07-23,not available
174,Chevrolet,Ram Van 2500,1977-02-15,not available
175,Acura,Rabbit,1982-01-09,available
176,Mazda,Ram Van 2500,2001-02-21,available
177,Volkswagen,SX4,2005-06-26,available
178,Porsche,B-Series,2001-10-18,not available
179,Rolls-Royce,Ram Van 2500,1988-12-31,not available
180,Mazda,Impala,1999-09-10,available
181,Volkswagen,B-Series,1999-05-28,not available
182,Rolls-Royce,S70,1990-03-30,available
183,Dodge,TL,2012-04-15,available
184,Volkswagen,Rabbit,2005-02-25,not available
185,Porsche,Boxster,2025-12-19,not available
186,Chevrolet,Boxster,1982-04-10,available
187,Acura,S70,2017-06-04,not available
188,Mazda,Boxster,1995-05-31,not available
189,Suzuki,B-Series,1992-12-28,available
190,Mazda,Rabbit,2006-11-24,not available
191,Rolls-Royce,Phantom,2025-12-30,available
192,Chevrolet,Boxster,1986-06-03,available
193,Suzuki,S70,1974-06-09,not available
194,Volkswagen,TL,1972-02-10,not available
195,Geo,Impala,1977-04-22,not available
196,Chevrolet,SX4,2012-11-29,available
197,Acura,S70,1977-01-19,available
198,Rolls-Royce,Impala,1972-01-30,available
199,Geo,Boxster,2008-04-29,available
200,Mazda,S70,1972-08-10,available
201,Mazda,Impala,2009-09-20,not available
202,Chevrolet,Boxster,1983-12-22,not available
203,Geo,Ram Van 2500,1970-04-17,available
204,Volkswagen,SX4,2009-01-25,not available
205,Acura,B-Series,2018-12-19,not available
206,Rolls-Royce,B-Series,2001-08-19,not available
207,Geo,Impala,1994-01-10,available
208,Volkswagen,Phantom,2004-01-18,available
209,Suzuki,Boxster,1980-10-01,not available
210,Geo,B-Series,2013-04-13,available
211,Mazda,Boxster,1987-08-24,not available
212,Chevrolet,Impala,2004-01-26,available
213,Geo,S70,1995-12-18,not available
214,Volvo,Impala,1983-07-17,not available
215,Volkswagen,B-Series,2005-01-10,not available
216,Chevrolet,Ram Van 2500,2021-11-27,not available
217,Rolls-Royce,SX4,2024-02-13,not available
218,Volvo,Impala,1987-03-18,available
219,Dodge,TL,2000-07-01,available
220,Mazda,S70,2013-01-11,available
221,Volkswagen,TL,1996-06-02,available
222,Dodge,SX4,2019-01-02,not available
223,Geo,B-Series,1995-03-03,available
224,Suzuki,SX4,1995-06-07,available
225,Rolls-Royce,S70,2012-06-24,available
226,Rolls-Royce,Boxster,1989-01-08,available
227,Volvo,SX4,1990-05-10,available
228,Acura,SX4,1975-08-14,available
229,Acura,Ram Van 2500,1994-09-09,available
230,Geo,Tracker,2005-10-10,not available
231,Porsche,Rabbit,2022-04-07,available
232,Volkswagen,Boxster,2021-05-23,not available
233,Mazda,Phantom,1974-01-12,not available
234,Dodge,Impala,1982-02-06,not available
235,Suzuki,Impala,1976-02-17,available
236,Acura,SX4,1974-01-30,available
237,Volvo,Boxster,1990-07-22,available
238,Volvo,S70,2024-06-03,not available
239,Suzuki,Ram Van 2500,1982-05-17,not available
240,Rolls-Royce,B-Series,1981-02-03,not available
241,Volkswagen,TL,1999-06-06,not available
242,Volvo,B-Series,2024-08-17,not available
243,Geo,Ram Van 2500,2002-04-22,not available
244,Rolls-Royce,Phantom,2022-08-21,available
245,Dodge,TL,2006-01-15,not available
246,Chevrolet,Phantom,1980-01-08,available
247,Porsche,Phantom,1997-10-01,available
248,Suzuki,Rabbit,1995-08-22,not available
249,Geo,S70,1988-03-05,available
250,Volkswagen,Boxster,2007-08-12,not available
251,Volkswagen,B-Series,1972-07-06,available
252,Rolls-Royce,SX4,1992-08-01,available
253,Suzuki,S70,1984-06-27,available
254,Geo,TL,2010-11-02,available
255,Rolls-Royce,TL,1988-01-27,not available
256,Acura,Boxster,1982-01-01,available
257,Acura,Phantom,2017-01-28,not available
258,Porsche,TL,1980-11-29,not available
259,Volkswagen,SX4,1979-08-28,available
260,Geo,Rabbit,1980-02-20,available
261,Suzuki,Impala,2006-06-13,available
262,Volvo,Phantom,2000-10-01,available
263,Porsche,Ram Van 2500,2022-04-15,not available
264,Mazda,Impala,2017-05-13,not available
265,Suzuki,Boxster,2009-08-28,not available
266,Dodge,Boxster,1975-05-20,available
267,Chevrolet,SX4,1983-09-15,not available
268,Mazda,TL,2009-03-30,not available
269,Geo,Tracker,1978-09-25,not available
270,Mazda,Tracker,2026-01-30,not available
271,Volkswagen,Tracker,2004-09-22,not available
272,Chevrolet,S70,1985-04-23,not available
273,Volvo,Tracker,2023-05-30,available
274,Rolls-Royce,B-Series,2007-09-25,available
275,Mazda,TL,1974-05-31,not available
276,Dodge,TL,1971-11-29,not available
277,Volvo,Boxster,2004-06-02,available
278,Mazda,Ram Van 2500,1982-01-02,not available
279,Geo,TL,2025-09-28,available
280,Dodge,TL,1975-01-10,not available
281,Chevrolet,TL,1993-01-08,available
282,Geo,TL,1989-02-21,not available
283,Suzuki,Impala,2017-12-09,not available
284,Geo,Boxster,1987-08-25,available
285,Porsche,Rabbit,1984-03-20,not available
286,Dodge,SX4,1991-05-05,available
287,Volkswagen,Phantom,1988-11-21,available
288,Chevrolet,Phantom,1971-07-14,available
289,Dodge,B-Series,2002-09-20,not available
290,Volkswagen,Impala,1989-09-04,not available
